listing_id,host_is_superhost,neighbourhood_group_cleansed,accommodates,price,review_scores_rating
168,0,Queens,2,130.00,4.86
169,1,Manhattan,2,287.00,5
170,1,Staten Island,2,130.00,4.87
171,1,Brooklyn,4,165.00,5
172,0,Staten Island,4,86.00,4.89
173,0,Brooklyn,1,45.00,5
174,0,Brooklyn,2,100.00,4.96
175,1,Queens,4,95.00,4.72
176,0,Brooklyn,5,125.00,5
177,1,Queens,6,227.00,4.91
178,0,Queens,1,109.00,5
179,0,Brooklyn,1,66.00,5
180,1,Brooklyn,2,71.00,5
181,1,Queens,1,59.00,4.8
182,0,Queens,1,54.00,4.25
183,0,Brooklyn,2,95.00,4.53
184,0,Brooklyn,2,85.00,4.17
185,1,Queens,1,64.00,4.87
186,0,Brooklyn,1,34.00,4.8
187,1,Queens,2,113.00,5
188,0,Brooklyn,2,240.00,4.5
189,1,Brooklyn,1,65.00,4.91
190,1,Queens,2,95.00,4.94
191,0,Staten Island,1,40.00,5
192,0,Queens,4,100.00,5
193,0,Brooklyn,2,45.00,5
194,1,Queens,3,130.00,4.87
195,0,Queens,1,125.00,5
196,1,Brooklyn,2,109.00,4.86
197,0,Brooklyn,2,51.00,3.8
198,0,Manhattan,2,100.00,4.5
199,1,Queens,2,186.00,4.99
200,0,Brooklyn,2,60.00,5
201,1,Brooklyn,2,140.00,4.9
202,0,Brooklyn,2,125.00,5
203,1,Brooklyn,4,235.00,4.82
204,0,Queens,10,189.00,4.75
205,0,Brooklyn,3,140.00,4.28
206,0,Brooklyn,2,160.00,4.87
207,0,Brooklyn,11,482.00,4.81
208,1,Manhattan,5,240.00,5
209,0,Manhattan,1,69.00,5
210,0,Brooklyn,1,79.00,4.86
211,1,Brooklyn,4,250.00,4.95
212,1,Manhattan,2,108.00,4.97
213,1,Queens,2,85.00,4.88
214,0,Manhattan,2,105.00,5
215,1,Manhattan,2,352.00,4.33
216,1,Brooklyn,2,139.00,4.95
217,1,Brooklyn,2,20.00,4.84
218,0,Brooklyn,5,290.00,5
219,0,Brooklyn,4,250.00,5
220,0,Brooklyn,2,85.00,5
221,1,Brooklyn,1,56.00,4.6
222,0,Queens,2,135.00,4.56
223,1,Brooklyn,5,350.00,4.98
224,1,Queens,6,300.00,4.84
225,0,Brooklyn,2,110.00,4.69
226,1,Brooklyn,2,200.00,4.84
227,0,Brooklyn,6,500.00,4.91
228,1,Manhattan,1,60.00,5
229,1,Manhattan,2,203.00,4.75
230,0,Brooklyn,2,290.00,4.8
231,0,Brooklyn,2,53.00,4
232,0,Brooklyn,4,139.00,4.75
233,1,Brooklyn,4,134.00,4.94
234,0,Brooklyn,16,754.00,4.87
235,1,Manhattan,4,1028.00,4.85
236,0,Manhattan,2,170.00,5
237,1,Queens,10,463.00,4.71
238,0,Manhattan,1,72.00,2
239,0,Queens,6,305.00,4.91
240,0,Manhattan,2,76.00,4.67
241,0,Brooklyn,2,42.00,5
242,1,Brooklyn,2,51.00,5
243,0,Manhattan,2,120.00,2
244,1,Manhattan,2,579.00,4.87
245,0,Brooklyn,1,85.00,4.77
246,0,Manhattan,1,130.00,4
247,1,Manhattan,4,210.00,5
248,0,Queens,1,87.00,4.75
249,0,Brooklyn,8,354.00,4.58
250,0,Queens,2,150.00,4.7
251,1,Brooklyn,2,334.00,4.93
252,0,Manhattan,1,150.00,4.36
253,1,Manhattan,2,158.00,4.65
254,1,Manhattan,2,161.00,4.75
255,1,Brooklyn,2,250.00,4.96
256,0,Manhattan,2,175.00,5
257,1,Brooklyn,6,398.00,4.86
258,0,Manhattan,4,393.00,4.41
259,1,Manhattan,2,230.00,5
260,0,Brooklyn,1,140.00,5
261,1,Manhattan,3,389.00,4.89
262,0,Manhattan,3,300.00,4.58
263,1,Brooklyn,13,749.00,4.91
264,1,Manhattan,2,75.00,5
265,0,Manhattan,2,256.00,5
266,0,Brooklyn,4,176.00,4.92
267,1,Brooklyn,1,159.00,4.89
268,1,Manhattan,4,183.00,5
269,0,Brooklyn,2,170.00,4.75
270,1,Brooklyn,2,195.00,5
271,0,Manhattan,3,2106.00,4.8
272,0,Brooklyn,1,43.00,5
273,0,Manhattan,2,160.00,4.5
274,1,Brooklyn,2,150.00,4.85
275,1,Brooklyn,6,650.00,5
276,0,Manhattan,2,1200.00,5
277,1,Manhattan,2,209.00,4.67
278,0,Brooklyn,5,205.00,4.86
279,1,Manhattan,2,175.00,5
280,0,Brooklyn,2,95.00,4.83
281,0,Brooklyn,2,315.00,4.83
282,0,Brooklyn,2,45.00,5
283,1,Manhattan,2,79.00,5
284,0,Brooklyn,1,73.00,5
285,0,Manhattan,4,150.00,5
286,1,Manhattan,4,350.00,5
287,0,Brooklyn,2,280.00,5
288,0,Brooklyn,2,149.00,5
289,0,Manhattan,5,359.00,4.61
290,1,Manhattan,7,200.00,5
291,1,Manhattan,3,258.00,4.83
292,1,Manhattan,4,893.00,4.93
293,1,Brooklyn,1,75.00,4.81
294,1,Manhattan,2,74.00,5
295,0,Brooklyn,1,40.00,5
296,1,Manhattan,2,300.00,4.83
297,1,Brooklyn,6,239.00,4.81
298,0,Manhattan,2,90.00,3.5
299,1,Manhattan,1,85.00,4.91
300,0,Brooklyn,2,60.00,4.62
301,1,Brooklyn,4,119.00,4.83
302,0,Brooklyn,3,599.00,5
303,0,Brooklyn,2,172.00,4.93
304,0,Manhattan,2,766.00,4.88
305,0,Manhattan,2,211.00,4.71
306,1,Brooklyn,2,65.00,5
307,0,Brooklyn,2,149.00,5
308,0,Manhattan,2,200.00,4.78
309,0,Manhattan,1,75.00,3
310,1,Brooklyn,2,283.00,5
311,0,Brooklyn,1,49.00,4.71
312,0,Manhattan,1,70.00,4.45
313,1,Brooklyn,1,70.00,4.75
314,0,Brooklyn,2,43.00,5
315,0,Manhattan,2,110.00,5
316,0,Brooklyn,2,143.00,4.77
317,0,Manhattan,4,239.00,4.17
318,1,Manhattan,8,650.00,4.77
319,1,Manhattan,4,140.00,5
320,0,Manhattan,3,160.00,5
321,1,Brooklyn,2,258.00,4.94
322,0,Manhattan,3,100.00,5
323,1,Manhattan,2,117.00,5
324,0,Manhattan,4,599.00,5
325,0,Manhattan,2,450.00,3
326,0,Brooklyn,4,65.00,4.44
327,1,Manhattan,3,321.00,4.33
328,0,Manhattan,5,1000.00,5
329,0,Manhattan,3,159.00,4
330,0,Brooklyn,2,44.00,4
331,0,Manhattan,3,434.00,4.94
332,1,Manhattan,2,160.00,5
333,0,Manhattan,1,161.00,5
334,0,Manhattan,2,464.00,5
335,0,Manhattan,2,296.00,5
336,1,Manhattan,6,657.00,4.87
337,0,Manhattan,5,165.00,4
338,1,Manhattan,2,475.00,5
339,0,Brooklyn,2,53.00,4.99
340,0,Manhattan,8,296.00,5
341,0,Manhattan,2,125.00,5
342,0,Manhattan,2,134.00,5
343,0,Manhattan,6,418.00,4.67
344,1,Brooklyn,2,90.00,5
345,0,Manhattan,2,160.00,4.64
346,0,Brooklyn,6,250.00,4.56
347,0,Brooklyn,2,178.00,4.82
348,0,Manhattan,2,421.00,4.07
349,0,Manhattan,2,156.00,5
350,1,Manhattan,4,144.00,5
351,1,Queens,2,119.00,4.78
352,1,Manhattan,2,276.00,4.6
353,1,Manhattan,6,250.00,4.9
354,1,Manhattan,4,220.00,5
355,0,Brooklyn,1,43.00,5
356,0,Manhattan,2,175.00,2
357,0,Queens,6,107.00,4.73
358,0,Manhattan,4,394.00,5
359,1,Manhattan,2,257.00,4.68
360,0,Manhattan,2,300.00,4.88
361,1,Manhattan,9,644.00,4.84
362,0,Manhattan,1,235.00,4.83
363,0,Manhattan,4,153.00,5
364,0,Brooklyn,1,86.00,4.73
365,0,Brooklyn,6,177.00,4.74
366,1,Brooklyn,3,344.00,4.75
367,0,Queens,2,51.00,4.82
368,0,Bronx,2,42.00,5
369,1,Queens,2,88.00,4.8
370,0,Brooklyn,3,90.00,4.69
371,0,Queens,2,99.00,4.93
372,0,Manhattan,2,131.00,3
373,0,Manhattan,4,164.00,4.67
374,0,Queens,4,232.00,5
375,0,Bronx,2,41.00,5
376,1,Queens,2,89.00,5
377,1,Queens,2,110.00,4.78
378,1,Queens,1,112.00,5
379,0,Queens,1,43.00,5
380,0,Queens,2,66.00,5
381,0,Brooklyn,1,89.00,4.57
382,0,Queens,2,96.00,4.57
383,1,Queens,2,74.00,4.88
384,1,Queens,1,35.00,5
385,0,Bronx,2,65.00,4.76
386,0,Manhattan,3,130.00,4.36
387,0,Queens,2,109.00,4.35
388,1,Staten Island,6,105.00,4.8
389,0,Brooklyn,2,279.00,5
390,0,Queens,2,105.00,4.72
391,0,Queens,1,40.00,4.5
392,0,Queens,2,40.00,4.93
393,0,Queens,2,158.00,4.8
394,0,Manhattan,2,546.00,3.78
395,0,Queens,2,140.00,1
396,0,Queens,2,70.00,4.67
397,1,Queens,2,85.00,4.81
398,1,Queens,2,95.00,4.79
399,1,Queens,3,75.00,4.95
400,1,Brooklyn,4,115.00,5
401,0,Queens,5,100.00,4.27
402,0,Brooklyn,6,150.00,4.51
403,0,Queens,2,55.00,4.83
404,0,Brooklyn,4,425.00,5
405,1,Queens,2,85.00,4.94
406,0,Bronx,1,70.00,5
407,0,Queens,2,139.00,5
408,1,Queens,2,132.00,4.91
409,0,Manhattan,4,205.00,4
410,0,Manhattan,2,115.00,5
411,0,Bronx,3,67.00,5
412,1,Brooklyn,2,184.00,4.98
413,0,Manhattan,2,100.00,4.5
414,1,Staten Island,2,68.00,4.87
415,0,Staten Island,2,125.00,4.52
416,1,Staten Island,2,68.00,4.84
417,1,Manhattan,5,129.00,4.67
418,1,Bronx,1,39.00,5
419,0,Manhattan,6,664.00,5
420,0,Manhattan,2,200.00,4.83
421,0,Queens,2,80.00,4.82
422,0,Queens,1,84.00,4.75
423,0,Brooklyn,3,220.00,4.75
424,1,Bronx,2,124.00,4.86
425,0,Queens,2,90.00,4.7
426,1,Manhattan,4,153.00,4.75
427,0,Manhattan,2,181.00,3.67
428,1,Brooklyn,6,206.00,4.81
429,1,Brooklyn,6,69.00,4.69
430,0,Staten Island,4,150.00,4.86
431,1,Queens,8,400.00,4.77
432,0,Queens,2,87.00,4.67
433,1,Brooklyn,1,55.00,4.97
434,0,Queens,2,500.00,4.67
435,1,Brooklyn,3,80.00,5
436,0,Queens,2,92.00,4.95
437,0,Queens,2,58.00,4.61
438,0,Manhattan,2,259.00,5
439,1,Manhattan,2,114.00,4.97
440,1,Bronx,1,42.00,4.91
441,1,Queens,2,88.00,4.83
442,0,Bronx,2,41.00,5
443,0,Queens,4,133.00,4.69
444,1,Queens,2,62.00,4.45
445,1,Queens,2,109.00,5
446,0,Queens,2,80.00,4.62
